,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2014,1,Barcelona,38,30,4,4,110,21,94,102.98015200000002,-7.019848,97.77721200000002,28.44429270000001,7.444292700000009,24.727906700000005,73.04930530000001,5.683534703382723,16.367592989090525,489,114,94.08129999999998,0.0813
La_liga,2014,2,Real Madrid,38,30,2,6,118,38,92,95.76624299999999,-22.233757,86.10389499999998,42.607198000000004,4.607198000000004,38.890805,47.213090000000015,10.209085456325049,12.929510106152211,351,153,81.7489,-10.2511
La_liga,2014,3,Atletico Madrid,38,23,9,6,67,29,78,57.047670000000004,-9.95233,52.588007999999995,29.069107100000004,0.0691071,26.839271100000005,25.748736900000008,8.982028430893806,9.237090640679776,197,123,73.13530000000003,-4.8647
La_liga,2014,4,Valencia,38,22,11,5,70,32,77,55.06250000000001,-14.9375,49.703978,39.392571999999994,7.392571999999994,33.44647700000001,16.257500999999998,8.709827299105736,7.870224725817145,203,172,63.7068,-13.2932
La_liga,2014,5,Sevilla,38,23,7,8,71,45,76,69.52662400000001,-1.473376,62.094599,47.86274200000001,2.8627420000000114,41.91652900000002,20.17807,8.276147614918786,9.477804782000847,305,168,67.38669999999999,-8.6133
La_liga,2014,6,Villarreal,38,16,12,10,48,37,60,56.767998999999996,8.767998999999996,55.281437999999994,40.70181300000001,3.7018130000000085,38.47197700000002,16.809461000000002,10.072084889245291,8.679659582326257,242,171,62.736299999999986,2.7362999999999857
La_liga,2014,7,Athletic Club,38,15,10,13,42,41,55,45.54215069999999,3.5421506999999934,41.8261507,44.1067075,3.106707499999999,41.7371605,0.0889902,7.462405547667463,9.403964980727908,183,171,53.3585,-1.6415
La_liga,2014,8,Celta Vigo,38,13,12,13,47,44,51,58.887332000000015,11.887332000000015,54.42766400000001,51.77713800000001,7.777138000000008,46.574205,7.853459000000003,6.056172520220022,10.882769437017174,287,207,55.04879999999999,4.048799999999993
La_liga,2014,9,Malaga,38,14,8,16,42,48,50,46.221008000000005,4.221008000000005,40.878338,54.130818,6.130817999999998,49.515436999999984,-8.637099,7.792069340315364,7.0190679410732155,184,184,48.512800000000006,-1.4872
La_liga,2014,10,Rayo Vallecano,38,15,4,19,46,68,49,47.790696,1.790695999999997,45.56086799999999,70.43346,2.4334599999999966,65.97380000000001,-20.412932,6.157978376,9.735109216,147,219,43.54550000000001,-5.4545
La_liga,2014,11,Espanyol,38,13,10,15,47,51,49,43.979193,-3.020807,41.006215,48.30391579999999,-2.6960842,47.56064179999999,-6.5544268,9.381753858685475,7.158217401,173,205,50.384999999999984,1.3849999999999838
La_liga,2014,12,Real Sociedad,38,11,13,14,44,51,46,33.48519699999999,-10.514803,31.255367999999994,51.15811800000001,0.15811800000000886,46.53602600000001,-15.280658,8.614234642115408,8.829567437616348,146,168,38.78179999999999,-7.2182
La_liga,2014,13,Elche,38,11,8,19,35,62,41,39.61085300000001,4.610853000000013,34.265640000000005,58.071769999999994,-3.92823,51.38227199999999,-17.116632,9.517572254867797,8.623286731035208,107,216,40.671800000000005,-0.3282
La_liga,2014,14,Getafe,38,10,7,21,33,64,37,33.9685805,0.9685805000000016,32.482020500000004,53.673382,-10.326618,47.72819699999999,-15.2461765,10.145485655483892,7.235660297374932,114,221,40.10310000000002,3.103100000000019
La_liga,2014,15,Levante,38,9,10,19,34,67,37,35.3017053,1.3017053000000018,32.3286043,60.270317000000006,-6.729683,54.18169700000001,-21.8530927,12.379267906551258,7.501470880491498,97,224,37.60459999999999,0.6045999999999907
La_liga,2014,16,Deportivo La Coruna,38,7,14,17,35,60,35,37.871237799999996,2.871237799999996,32.5058868,50.9793042,-9.0206958,46.5197612,-14.0138744,9.872519602819812,7.921498201535552,133,188,43.52490000000001,8.5249
La_liga,2014,17,Granada,38,7,14,17,29,64,35,37.38727509999999,8.3872751,32.9275981,54.283784,-9.716216,51.31067799999999,-18.3830799,8.924796294868555,7.551742401644589,117,206,45.7345,10.734499999999997
La_liga,2014,18,Eibar,38,9,8,21,34,55,35,29.560106899999994,-4.4398931,28.0735569,53.71796199999999,-1.282038,50.001574999999995,-21.9280181,9.636161419876489,8.056607783421207,106,225,35.65370000000001,0.6537000000000077
La_liga,2014,19,Almeria,38,8,8,22,35,64,32,38.6699445,3.6699444999999997,34.210265500000006,58.866805000000014,-5.133195,57.38025000000001,-23.1699845,8.761424561450733,6.230163608502944,136,220,39.325500000000005,7.325500000000005
La_liga,2014,20,Cordoba,38,3,11,24,22,68,20,29.764514499999997,7.764514499999997,27.5346865,57.33977600000001,-10.660224,52.13732600000001,-24.6026395,11.606826266670417,7.530367498117108,91,253,36.2912,16.291200000000003
La_liga,2015,1,Barcelona,38,29,4,5,112,29,91,113.59826999999999,1.5982699999999852,99.47702,34.029090100000005,5.029090100000005,33.2859401,66.19107989999999,6.012151909468335,15.064389542698626,570,163,94.37999999999998,3.3799999999999812
La_liga,2015,2,Real Madrid,38,28,6,4,110,34,90,90.454148,-19.545852,83.76463800000002,45.233782,11.233781999999998,42.26067099999999,41.50396699999999,9.251966893412055,14.571880585412604,404,211,79.09270000000002,-10.9073
La_liga,2015,3,Atletico Madrid,38,28,4,6,63,18,88,54.92736500000001,-8.072635,53.44093500000001,27.797052,9.797052,27.053774,26.387161,8.834883908940133,9.045123902718023,261,170,72.28030000000001,-15.7197
La_liga,2015,4,Villarreal,38,18,10,10,44,35,64,40.488814,-3.511186,38.258973,41.63078800000001,6.630788,39.400957999999996,-1.141985,9.924385958226544,9.034771594108914,188,215,52.1071,-11.8929
La_liga,2015,5,Athletic Club,38,18,8,12,58,45,62,53.89661400000001,-4.103386,50.039775000000006,45.326223999999996,0.3262239999999963,40.123397000000004,9.916378000000005,8.112320106464502,9.674713458534473,221,174,58.23810000000002,-3.7619
La_liga,2015,6,Celta Vigo,38,17,9,12,51,59,60,50.20347,-0.79653,46.48721,51.98172580000002,-7.0182742,48.26545480000002,-1.7782448,6.435314606547314,11.222888296863315,321,245,53.080999999999996,-6.919
La_liga,2015,7,Sevilla,38,14,10,14,51,50,52,62.97063399999999,11.97063399999999,57.76782999999999,46.0882856,-3.9117144,43.858445599999996,13.909384400000006,8.600500029023523,8.957717525987354,296,216,63.6363,11.636299999999999
La_liga,2015,8,Malaga,38,12,12,14,38,35,48,45.751884000000004,7.751884000000004,42.778771000000006,45.25460600000001,10.25460600000001,43.76818000000001,-0.989409,7.830132941,7.261826846638326,196,191,53.08010000000001,5.080100000000009
La_liga,2015,9,Real Sociedad,38,13,9,16,45,48,48,47.947143999999994,2.9471439999999944,47.203864,48.036505000000005,0.036505,42.822658000000004,4.381206,8.157426954128175,9.268504881207773,185,183,52.7503,4.750300000000003
La_liga,2015,10,Real Betis,38,11,12,15,34,52,45,40.112455100000005,6.112455100000005,37.1393511,64.394609,12.394609000000003,63.65132900000001,-26.5119779,11.124883653663153,6.627317033432555,152,283,40.48800000000001,-4.512
La_liga,2015,11,Valencia,38,11,11,16,46,48,44,50.50809900000001,4.5080990000000085,46.63637500000001,61.685717,13.685716999999997,58.586166000000006,-11.949791,9.061171747361186,7.278318840048795,203,250,46.72509999999999,2.7250999999999905
La_liga,2015,12,Las Palmas,38,12,8,18,45,53,44,38.676393000000004,-6.323607,34.949103,59.23681529999999,6.236815299999989,56.26372229999999,-21.3146193,10.079552235791619,8.927858357891036,228,250,41.17930000000001,-2.8207
La_liga,2015,13,Espanyol,38,12,7,19,40,74,43,46.09186,6.091859999999997,43.862021999999996,60.84227799999999,-13.157722,56.382991,-12.520969,8.504199708180982,7.50859745,186,219,43.1508,0.15079999999999671
La_liga,2015,14,Eibar,38,11,10,17,49,61,43,52.916666,3.9166659999999993,46.843993000000005,50.580983,-10.419017,47.45242,-0.608427,7.804410334637702,7.974348621324925,191,218,54.02529999999999,11.025299999999987
La_liga,2015,15,Deportivo La Coruna,38,8,18,12,45,61,42,43.74708699999999,-1.252913,43.00381399999999,52.374037,-8.625963,49.400919,-6.397105,11.324321016787863,8.739138471099285,166,240,46.07909999999999,4.0791
La_liga,2015,16,Sporting Gijon,38,10,9,19,40,62,39,42.5678716,2.5678715999999966,40.9817666,60.61672700000001,-1.383273,53.043757000000014,-12.0619904,11.566715504623808,6.814093478366836,132,265,40.6074,1.6073999999999984
La_liga,2015,17,Granada,38,10,9,19,46,69,39,41.353233,-4.646767,36.150419,62.374919999999996,-6.62508,58.65852399999999,-22.508105,8.999244943285099,7.2419761155766595,117,268,38.499399999999994,-0.5006
La_liga,2015,18,Rayo Vallecano,38,9,11,18,52,73,38,52.25944080000001,0.25944080000000724,49.8896658,65.08895700000002,-7.911043,58.399829,-8.5101632,6.963565825291231,9.270395219,157,240,45.77530000000001,7.7753000000000085
